iter	Passed	Remaining
197	1484	6013
198	1491	6003
199	1498	5993
200	1505	5984
201	1512	5973
202	1519	5965
203	1526	5955
204	1533	5946
205	1540	5936
206	1546	5925
207	1553	5916
208	1560	5906
209	1567	5896
210	1574	5886
211	1581	5877
212	1587	5867
213	1594	5856
214	1601	5847
215	1608	5837
216	1615	5828
217	1622	5818
218	1628	5808
219	1635	5799
220	1642	5788
221	1649	5779
222	1655	5768
223	1662	5759
224	1669	5750
225	1676	5740
226	1683	5731
227	1689	5719
228	1696	5710
229	1702	5700
230	1709	5691
231	1716	5682
232	1723	5675
233	1731	5667
234	1738	5658
235	1744	5648
236	1751	5639
237	1759	5632
238	1766	5623
239	1772	5613
240	1779	5603
241	1786	5596
242	1793	5587
243	1800	5578
244	1806	5567
245	1813	5558
246	1820	5551
247	1827	5541
248	1835	5534
249	1842	5527
250	1849	5518
251	1856	5511
252	1865	5506
253	1872	5498
254	1879	5490
255	1886	5482
256	1893	5474
257	1900	5466
258	1907	5458
259	1914	5449
260	1921	5440
261	1928	5432
262	1936	5425
263	1942	5415
264	1950	5409
265	1957	5401
266	1964	5394
267	1972	5386
268	1979	5378
269	1986	5371
270	1993	5363
271	2000	5353
272	2007	5346
273	2014	5338
274	2021	5330
275	2028	5321
276	2035	5313
277	2042	5304
278	2049	5295
279	2055	5286
280	2062	5278
281	2070	5272
282	2078	5265
283	2085	5256
284	2092	5249
285	2099	5241
286	2106	5233
287	2113	5224
288	2120	5216
289	2127	5208
290	2135	5201
291	2141	5192
292	2148	5184
293	2155	5176
294	2162	5168
295	2169	5160
296	2177	5153
297	2184	5145
298	2190	5136
299	2198	5128
300	2205	5120
301	2212	5112
302	2219	5105
303	2226	5097
304	2233	5089
305	2240	5082
306	2248	5074
307	2255	5067
308	2262	5059
309	2269	5050
310	2276	5042
311	2283	5034
312	2289	5026
313	2296	5018
314	2303	5009
315	2310	5000
316	2317	4993
317	2324	4985
318	2332	4978
319	2339	4971
320	2346	4964
321	2354	4956
322	2360	4947
323	2367	4939
324	2374	4931
325	2381	4924
326	2388	4916
327	2395	4907
328	2402	4899
329	2408	4890
330	2416	4883
331	2423	4875
332	2429	4866
333	2436	4859
334	2443	4851
335	2451	4844
336	2457	4835
337	2464	4826
338	2470	4817
339	2478	4810
340	2484	4802
341	2491	4793
342	2498	4785
343	2505	4777
344	2512	4770
345	2519	4762
346	2526	4754
347	2530	4741
348	2537	4733
349	2544	4725
350	2551	4717
351	2558	4710
352	2566	4703
353	2572	4695
354	2580	4688
355	2587	4681
356	2594	4673
357	2601	4664
358	2608	4657
359	2615	4649
360	2621	4641
361	2629	4634
362	2636	4626
363	2643	4618
364	2650	4610
365	2656	4602
366	2663	4594
367	2670	4586
368	2678	4580
369	2685	4572
370	2692	4565
371	2699	4557
372	2705	4548
373	2712	4540
374	2719	4532
375	2727	4525
376	2734	4518
377	2741	4510
378	2748	4503
379	2754	4494
380	2762	4487
381	2768	4479
382	2775	4471
383	2782	4463
384	2789	4456
385	2797	4449
386	2804	4442
387	2811	4434
388	2818	4427
389	2826	4420
390	2833	4412
391	2839	4404
392	2847	4397
393	2853	4389
394	2860	4381
395	2867	4374
396	2874	4366
397	2882	4359
398	2889	4351
399	2896	4344
400	2902	4336
401	2909	4328
402	2916	4320
403	2923	4313
404	2930	4305
405	2937	4298
406	2945	4291
407	2952	4283
408	2959	4276
409	2966	4268
410	2973	4260
411	2980	4253
412	2987	4245
413	2993	4237
